sku,title,short_description,long_description,lastUpdated,thumbnail,large_image,price,external_url,brand,externalproductid,location_id,manufacturerPartNumber,barcode,Category,Product_Type,Currency,distance_from_use_location,distance_unit,address,hours,location_lat_long,phone,retailer,timezone,retLocationId,quantityText,locName,availability_url
1121419,"Algorithms and Computation","Algorithms and Computation by Otfried Cheong Et AL. contains topics on algorithms and computation. It talks about the proceedings of the 21st Annual International S- posium on Algorithms and Computations.","Algorithms and Computation by Otfried Cheong Et AL. contains topics on algorithms and computation. It talks about the proceedings of the 21st Annual International S- posium on Algorithms and Computations.",2017-07-16T01:58:35.314Z,http://www.staples-3p.com/s7/is/image/Staples/m001246327_sc7?$thb$,http://www.staples-3p.com/s7/is/image/Staples/m001246327_sc7?$std$,108.99,external_url,"Springer-Verlag New York Inc",1121419_56503e59e4b0f7921deb0042,f27a7737-68bc-4fc7-8d6a-d6b859026401,10899,09783642175169,Media,"Computer Books",USD,,miles,"US|Atlanta|3535 Peachtree Rd NE Suite 103|GA|30326","1:10:00:18:00,2:08:00:21:00,3:08:00:21:00,4:08:00:21:00,5:08:00:21:00,6:08:00:21:00,7:09:00:21:00","33.85211,-84.3592",4047609799,21f13782-1e7d-47fe-9f74-29c260adb178|Staples|http://images.retailigence.com/logos/staples.png|http://images.retailigence.com/logos/staples-50x50.jpg,America/New_York,1003,"Unknown availability","Staples - Atlanta",https://api.shopadvisor.com/v3.0/availability?apikey=zZBDgi_Zyl5_IMQNjuSn_OvL3XFS0S_4&requestorid=c788a854-9d3c-11e7-87fc-1f63daee3ac0&productid=3368f31a-df5f-47d9-8c21-0569c99e58f0&locationid=f27a7737-68bc-4fc7-8d6a-d6b859026401
1122066,"Advanced Computing","Advanced Computing by Natarajan Meghanathan Et Al. talks about the proceedings of the First International Conference on Computer Science and Information Technology. It sheds light on topics such as soft computing and more.","Advanced Computing by Natarajan Meghanathan Et Al. talks about the proceedings of the First International Conference on Computer Science and Information Technology. It sheds light on topics such as soft computing and more.",2017-07-15T13:22:37.205Z,http://www.staples-3p.com/s7/is/image/Staples/m001247353_sc7?$thb$,http://www.staples-3p.com/s7/is/image/Staples/m001247353_sc7?$std$,148.99,external_url,"Springer-Verlag New York Inc",1122066_56503e5be4b0f7921deb2383,f27a7737-68bc-4fc7-8d6a-d6b859026401,14899,09783642178801,Media,"Computer Books",USD,,miles,"US|Atlanta|3535 Peachtree Rd NE Suite 103|GA|30326","1:10:00:18:00,2:08:00:21:00,3:08:00:21:00,4:08:00:21:00,5:08:00:21:00,6:08:00:21:00,7:09:00:21:00","33.85211,-84.3592",4047609799,21f13782-1e7d-47fe-9f74-29c260adb178|Staples|http://images.retailigence.com/logos/staples.png|http://images.retailigence.com/logos/staples-50x50.jpg,America/New_York,1003,"Unknown availability","Staples - Atlanta",https://api.shopadvisor.com/v3.0/availability?apikey=zZBDgi_Zyl5_IMQNjuSn_OvL3XFS0S_4&requestorid=c788a854-9d3c-11e7-87fc-1f63daee3ac0&productid=3b5449e4-0eef-433b-a9fb-4d8caa021bd6&locationid=f27a7737-68bc-4fc7-8d6a-d6b859026401
120518,"Asus M32AD-US025S Desktop Computer - Intel Core i5 i5-4460 3.20 GHz - Tower","Asus M32AD US025S Desktop Computer Intel Core i5 i5 4460 3.20 GHz Tower at Office Depot & OfficeMax. Now One Company.","Asus M32AD US025S Desktop Computer Intel Core i5 i5 4460 3.20 GHz Tower at Office Depot & OfficeMax. Now One Company.",2017-07-16T11:29:20.404Z,http://s7d1.scene7.com/is/image/officedepot/120518_vw_etz00_1028849847?$OD%2DSmall$,http://s7d1.scene7.com/is/image/officedepot/120518_vw_etz00_1028849847?$OD%2DLarge$,835.99,external_url,"ASUS Computer International",120518,9efd95fa-5b54-41fb-a786-39abce08d028,,,Electronics,"Technology,Computers & Tablets,Desktop Computers",USD,,miles,"US|Atlanta|2625 Piedmont Road Suite 200B|GA|30324","1:10:00:19:00,2:08:00:21:00,3:08:00:21:00,4:08:00:21:00,5:18:00:21:00,6:08:00:21:00,7:09:00:21:00","33.8273058,-84.3650817",4044677554,"2f9a7229-5e1c-4310-b6dc-567e4c75cfeb|Office Depot|http://images.retailigence.com/logos/officedepot.png|http://images.retailigence.com/logos/officedepot-50x50.jpg",America/New_York,2244,"Expect availability","Office Depot - Atlanta",https://api.shopadvisor.com/v3.0/availability?apikey=zZBDgi_Zyl5_IMQNjuSn_OvL3XFS0S_4&requestorid=c788a854-9d3c-11e7-87fc-1f63daee3ac0&productid=42d7be01-b082-4b6c-ac9a-66b4756401f9&locationid=9efd95fa-5b54-41fb-a786-39abce08d028
117846,"Asus G10AC-US010S Desktop Computer - Intel Core i5 i5-4570 3.20 GHz - Tower","Asus G10AC US010S Desktop Computer Intel Core i5 i5 4570 3.20 GHz Tower at Office Depot & OfficeMax. Now One Company.","Asus G10AC US010S Desktop Computer Intel Core i5 i5 4570 3.20 GHz Tower at Office Depot & OfficeMax. Now One Company.",2017-07-16T01:44:21.913Z,http://s7d1.scene7.com/is/image/officedepot/117846_vw_etz00_1025489563?$OD%2DSmall$,http://s7d1.scene7.com/is/image/officedepot/117846_vw_etz00_1025489563?$OD%2DLarge$,1102.99,external_url,"ASUS Computer International",117846,9efd95fa-5b54-41fb-a786-39abce08d028,,,Electronics,"Technology,Computers & Tablets,Desktop Computers",USD,,miles,"US|Atlanta|2625 Piedmont Road Suite 200B|GA|30324","1:10:00:19:00,2:08:00:21:00,3:08:00:21:00,4:08:00:21:00,5:18:00:21:00,6:08:00:21:00,7:09:00:21:00","33.8273058,-84.3650817",4044677554,"2f9a7229-5e1c-4310-b6dc-567e4c75cfeb|Office Depot|http://images.retailigence.com/logos/officedepot.png|http://images.retailigence.com/logos/officedepot-50x50.jpg",America/New_York,2244,"Expect availability","Office Depot - Atlanta",https://api.shopadvisor.com/v3.0/availability?apikey=zZBDgi_Zyl5_IMQNjuSn_OvL3XFS0S_4&requestorid=c788a854-9d3c-11e7-87fc-1f63daee3ac0&productid=f439e2dd-49b7-4137-a914-d436dd14c148&locationid=9efd95fa-5b54-41fb-a786-39abce08d028
120452,"Asus M32AD-US021S Desktop Computer - Intel Core i5 i5-4460 3.20 GHz - Tower - Black","Asus M32AD US021S Desktop Computer Intel Core i5 i5 4460 3.20 GHz Tower Black at Office Depot & OfficeMax. Now One Company.","Asus M32AD US021S Desktop Computer Intel Core i5 i5 4460 3.20 GHz Tower Black at Office Depot & OfficeMax. Now One Company.",2017-07-14T11:24:29.090Z,http://s7d1.scene7.com/is/image/officedepot/120452_vw_etz00_1028876743?$OD%2DSmall$,http://s7d1.scene7.com/is/image/officedepot/120452_vw_etz00_1028876743?$OD%2DLarge$,888.99,external_url,"ASUS Computer International",120452,9efd95fa-5b54-41fb-a786-39abce08d028,,,Electronics,"Technology,Computers & Tablets,Desktop Computers",USD,,miles,"US|Atlanta|2625 Piedmont Road Suite 200B|GA|30324","1:10:00:19:00,2:08:00:21:00,3:08:00:21:00,4:08:00:21:00,5:18:00:21:00,6:08:00:21:00,7:09:00:21:00","33.8273058,-84.3650817",4044677554,"2f9a7229-5e1c-4310-b6dc-567e4c75cfeb|Office Depot|http://images.retailigence.com/logos/officedepot.png|http://images.retailigence.com/logos/officedepot-50x50.jpg",America/New_York,2244,"Expect availability","Office Depot - Atlanta",https://api.shopadvisor.com/v3.0/availability?apikey=zZBDgi_Zyl5_IMQNjuSn_OvL3XFS0S_4&requestorid=c788a854-9d3c-11e7-87fc-1f63daee3ac0&productid=14e5140d-4bef-4414-b7c5-c652600417f5&locationid=9efd95fa-5b54-41fb-a786-39abce08d028
9402283,"Insignia™ - 2.0 Stereo Computer Speaker System (2-Piece) - Black","2.0 powered; magnetically shielded; headphone jack; controls on unit","Amplify your computer's sound with these 2.0 powered speakers that feature controls on the unit and a headphone jack for private listening.",2017-09-16T02:17:33.348Z,https://img.bbystatic.com/BestBuy_US/images/products/9402/9402283_s.gif,https://img.bbystatic.com/BestBuy_US/images/products/9402/9402283_sa.jpg,14.99,external_url,Insignia™,1218100583100,ab5d025e-d7d4-4b98-b129-4932c2ed0601,1499,00600603125744,Electronics,"Computer Speakers",USD,,miles,"US|Atlanta|2537 Piedmont Rd NE|GA|30324","1:11:00:20:00,2:10:00:21:00,3:10:00:21:00,4:10:00:21:00,5:10:00:21:00,6:10:00:22:00,7:10:00:22:00","33.82387,-84.36349",4048420938,"37207e12-12f5-4de2-a7a2-b70feb230df2|Best Buy|http://images.retailigence.com/logos/bestbuy.png|http://images.retailigence.com/logos/bestbuy.png",America/New_York,890,"Unknown availability",Buckhead,https://api.shopadvisor.com/v3.0/availability?apikey=zZBDgi_Zyl5_IMQNjuSn_OvL3XFS0S_4&requestorid=c788a854-9d3c-11e7-87fc-1f63daee3ac0&productid=0fcee898-db60-42de-bf12-b43b9157837b&locationid=ab5d025e-d7d4-4b98-b129-4932c2ed0601
653170,"SquareTrade 3 TOTAL Years (For New Computers Under $500)","SquareTrade 3 TOTAL Years (For New Computers Under $500) 3 Years of Accidental Damage Protection plus 3rd year of Normal Use Failure covered by SquareTrade. Each plan covers 1 item only.","SquareTrade 3 TOTAL Years (For New Computers Under $500) 3 Years of Accidental Damage Protection plus 3rd year of Normal Use Failure covered by SquareTrade. Each plan covers 1 item only..



    *   Application: Computer Equipment
    *   Brand: SquareTrade
    *   Model: CC-TN0499RN3A
    *   Term: 3 Year",2017-07-16T12:27:02.769Z,http://images.costco-static.com/image/media/150-653170-847__1.jpg,http://images.costco-static.com/image/media/350-653170-847__1.jpg,69.99,external_url,"Computer Equipment",11758242,6e2f1fd3-2b0a-4569-9de0-9bd13055840d,,,Electronics,"Computers & Printers,Computer Accessories,Warranties & Services",USD,,miles,"US|Atlanta|500 Brookhaven Ave NE|GA|30319-3291","1:10:00:18:00,2:10:00:20:30,3:10:00:20:30,4:10:00:20:30,5:10:00:20:30,6:10:00:20:30,7:09:00:19:00","33.8721877,-84.3367237",4044601915,fb104988-3a21-4c48-a5bd-a75584ede401|Costco|http://images.retailigence.com/logos/Costco-Logo.png|http://images.retailigence.com/logos/costco-50x50.jpg,America/New_York,1084,"Unknown availability",Costco,https://api.shopadvisor.com/v3.0/availability?apikey=zZBDgi_Zyl5_IMQNjuSn_OvL3XFS0S_4&requestorid=c788a854-9d3c-11e7-87fc-1f63daee3ac0&productid=2a44d956-9aba-4c75-bc85-101c18d66856&locationid=6e2f1fd3-2b0a-4569-9de0-9bd13055840d
41955277,"Apex MI Series Mini ITX Computer Case - 1 x 5.25"" Drive Bays, 2 x 3.5"" Drive Bays, 250W PSU, 2 x USB 2.0 Port, 2 x Audio","This thermally optimized Apex MI-100BK Mini-ITX Case is perfect for the home or office environment. In addition, offers you excellent EMI shielding to keep all your PC components safe. Compact and affordable, this Apex MI-100BK Mini-ITX Case comes with 1 5.25"" Exposed Drive Bay and 2 3.5"" Drive Bays.","This thermally optimized Apex MI-100BK Mini-ITX Case is perfect for the home or office environment. In addition, offers you excellent EMI shielding to keep all your PC components safe. Compact and affordable, this Apex MI-100BK Mini-ITX Case comes with 1 5.25"" Exposed Drive Bay and 2 3.5"" Drive Bays..",2017-07-14T08:20:22.001Z,http://i5.walmartimages.com/dfw/dce07b8c-30f9/k2-_35d2bf13-b7e2-47d2-8278-21c967102779.v1.jpg,http://i5.walmartimages.com/dfw/dce07b8c-a8c6/k2-_c76e3f2b-6c00-44ea-9c46-fa457eb0335d.v1.jpg,64.49,external_url,"Apex Computer Technology",835712004738,c29ef45e-bc92-4afc-a44d-0e724f68501a,,00835712004738,Electronics,"Electronics,Computers,Computer Components",USD,,miles,"US|Chamblee|1871 Chamblee Tucker Rd|GA|30341","1:06:00:00:00,2:06:00:00:00,3:06:00:00:00,4:06:00:00:00,5:06:00:00:00,6:06:00:00:00,7:06:00:00:00","33.888597,-84.311106",7704550422,31d9b3fd-ea69-4e08-9f7d-f41bc1be1474|Walmart|http://images.retailigence.com/logos/walmart.png|http://images.retailigence.com/logos/walmart-50x50.jpg,America/New_York,3621,"Expect availability",Walmart,https://api.shopadvisor.com/v3.0/availability?apikey=zZBDgi_Zyl5_IMQNjuSn_OvL3XFS0S_4&requestorid=c788a854-9d3c-11e7-87fc-1f63daee3ac0&productid=b05054ef-ba30-46e9-983a-88787c4eca33&locationid=c29ef45e-bc92-4afc-a44d-0e724f68501a
31420230,"Apex MI Series Mini ITX Computer Case - 1 x 5.25"" Drive Bays, 2 x 3.5"" Drive Bays, 250W PSU, 2 x USB 2.0 Port, 2 x Audio","This thermally optimized Apex MI-100BK Mini-ITX Case is perfect for the home or office environment. In addition, offers you excellent EMI shielding to keep all your PC components safe. Compact and affordable, this Apex MI-100BK Mini-ITX Case comes with 1 5.25"" Exposed Drive Bay and 2 3.5"" Drive Bays.","This thermally optimized Apex MI-100BK Mini-ITX Case is perfect for the home or office environment. In addition, offers you excellent EMI shielding to keep all your PC components safe. Compact and affordable, this Apex MI-100BK Mini-ITX Case comes with 1 5.25"" Exposed Drive Bay and 2 3.5"" Drive Bays..",2017-07-15T08:23:51.771Z,http://i5.walmartimages.com/dfw/dce07b8c-315a/k2-_82245287-e202-4871-bbdb-33a91bdb9dc7.v1.jpg,http://i5.walmartimages.com/dfw/dce07b8c-1031/k2-_673e8c34-783b-4636-a65a-d93c1d9d1c9b.v1.jpg,49.99,external_url,"Apex Computer Technology",54nkylgd8454,c29ef45e-bc92-4afc-a44d-0e724f68501a,,,Electronics,"Electronics,Computers,Computer Components",USD,,miles,"US|Chamblee|1871 Chamblee Tucker Rd|GA|30341","1:06:00:00:00,2:06:00:00:00,3:06:00:00:00,4:06:00:00:00,5:06:00:00:00,6:06:00:00:00,7:06:00:00:00","33.888597,-84.311106",7704550422,31d9b3fd-ea69-4e08-9f7d-f41bc1be1474|Walmart|http://images.retailigence.com/logos/walmart.png|http://images.retailigence.com/logos/walmart-50x50.jpg,America/New_York,3621,"Expect availability",Walmart,https://api.shopadvisor.com/v3.0/availability?apikey=zZBDgi_Zyl5_IMQNjuSn_OvL3XFS0S_4&requestorid=c788a854-9d3c-11e7-87fc-1f63daee3ac0&productid=2fdb40d3-98a4-4abd-b745-ee272443f012&locationid=c29ef45e-bc92-4afc-a44d-0e724f68501a
29259879,"KELLY COMPUTER SUPPLY Wrist Rest",UFJ1024,UFJ1024.,2017-07-15T04:51:10.707Z,http://i5.walmartimages.com/dfw/dce07b8c-334c/k2-_c041faee-8f53-4081-bba3-3c1b6edf8b1d.v2.jpg,http://i5.walmartimages.com/dfw/dce07b8c-c545/k2-_2aa0050c-d51e-425f-b720-b20033c95a8b.v1.jpg,16.99,external_url,"Kelly Computer Supply",762984501002,c29ef45e-bc92-4afc-a44d-0e724f68501a,,00762984501002,Electronics,"Electronics,Other Electronics",USD,,miles,"US|Chamblee|1871 Chamblee Tucker Rd|GA|30341","1:06:00:00:00,2:06:00:00:00,3:06:00:00:00,4:06:00:00:00,5:06:00:00:00,6:06:00:00:00,7:06:00:00:00","33.888597,-84.311106",7704550422,31d9b3fd-ea69-4e08-9f7d-f41bc1be1474|Walmart|http://images.retailigence.com/logos/walmart.png|http://images.retailigence.com/logos/walmart-50x50.jpg,America/New_York,3621,"Expect availability",Walmart,https://api.shopadvisor.com/v3.0/availability?apikey=zZBDgi_Zyl5_IMQNjuSn_OvL3XFS0S_4&requestorid=c788a854-9d3c-11e7-87fc-1f63daee3ac0&productid=8e8c5211-4146-4db1-92f8-87cdea3ee09b&locationid=c29ef45e-bc92-4afc-a44d-0e724f68501a
